hillnumber, hillname, region, parent, classification, metres, gridref, drop, latitude, longitude,W,WO,easting,northing
2319,Skiddaw,34A,,"Ma,F,Sim,Hew, N,W,B,Sy",931,NY260290,709,54.651391,-3.147761,1,0,326042,529082
2320,Blencathra - Hallsfell Top,34A,,"Ma,Sim,Hew,N, W,B,Sy,Fel",867.8,NY323277,461,54.639949,-3.049789,1,0,332344,527710
2321,Skiddaw Little Man,34A,2319,"Sim,Hew,N,W, B,Sy,Fel",865,NY266277,61,54.639911,-3.137629,1,0,326675,527794
2325,Carl Side,34A,2319,"Sim,Hew,N,W, B,Sy,Fel",746,NY254280,30,54.642398,-3.155984,1,0,325495,528090
2326,Long Side,34A,2319,"Sim,Hew,N,W, B,Sy,Fel",734,NY248284,40,54.645505,-3.165618,1,0,324879,528446
2327,Lonscale Fell,34A,2319,"Sim,Hew,N,W, B,Sy,Fel",715,NY285271,50,54.634357,-3.108518,1,0,328544,527146
2328,Knott,34A,,"Ma,Sim,Hew,N, W,B,Sy,Fel",710,NY296329,242,54.686982,-3.093322,1,0,329616,532986
2329,Bowscale Fell,34A,2320,"Sim,Hew,N,W, B,Sy,Fel",702,NY333305,87,54.665538,-3.035037,1,0,333338,530543
2330,Ullock Pike,34A,2319,"W,B,Sy,Fel, xN",690,NY244287,14,54.64827,-3.172486,1,0,324441,528761
2331,Great Calva,34A,2328,"Hu,Sim,Hew,N, sMa,W,B,Sy",690,NY290311,142,54.670761,-3.101073,1,0,329088,531189
2332,Bannerdale Crags,34A,2320,"Sim,Hew,N,W, B,Sy,Fel",683,NY335290,37,54.65195,-3.031747,1,0,333528,529028
2333,Bakestall,34A,2319,"W,B,Sy,Fel",673,NY266308,7,54.667426,-3.139049,1,0,326633,530857
2336,Carrock Fell,34A,2328,"Sim,Hew,N,sHu, W,B,Sy,Fel",663,NY341336,91,54.693484,-3.02287,1,0,334168,533641
2337,High Pike (Caldbeck),34A,2328,"Sim,Hew,N,W, B,Sy,Fel",658,NY318350,68,54.705407,-3.058742,1,0,331876,535002
2338,Great Sca Fell,34A,2328,"W,B,Sy,Fel, xN",651,NY291339,13,54.695145,-3.100989,1,0,329136,533902
2340,Mungrisdale Common,34A,2320,"W,Sy",633,NY310292,2,54.653432,-3.070132,1,0,331054,529230
2344,Brae Fell,34A,2328,"W,B,Sy,Fel",586,NY288351,14,54.70642,-3.105361,1,0,328874,535161
2345,Lord's Seat,34A,,"Ma,5,Dew,W, B,Sy,Fel",552,NY204265,237,54.627823,-3.233984,1,0,320432,526554
2346,Meal Fell,34A,2328,"5,Dew,W,B, Sy,Fel",550,NY283337,30,54.693795,-3.113923,1,0,328300,533765
2347,Great Cockup,34A,2328,"5,Dew,sHu,W, B,Sy,Fel",526,NY273333,90,54.689677,-3.128766,1,0,327336,533322
2348,Souther Fell,34A,2320,"5,Dew,W,B, Sy,Fel",522,NY354291,87,54.653236,-3.001663,1,0,335471,529143
2349,Dodd (Skiddaw),34A,2319,"Hu,5,Dew,W, B,Sy,Fel",502,NY244273,110,54.63561,-3.172122,1,0,324441,527352
2350,Longlands Fell,34A,2328,"4,W,B,Sy, Fel",483,NY275354,37,54.708411,-3.125313,1,0,327592,535403
2351,Binsey,34A,,"Ma,4,W,B, Sy,Fel",447,NY225355,242,54.708795,-3.204188,1,0,322511,535530
2352,Latrigg,34A,2319,"3,W,B,Sy, Fel",368,NY279247,73,54.6123,-3.117565,1,0,327921,524701
2353,Faulds Brow,34A,2328,"WO,Sy",344,NY299407,26,54.7565,-3.090144,0,1,329941,540718
2354,St. John's Hill [Caermote Hill N Top],34A,2351,WO,285,NY196376,7,54.727574,-3.249918,0,1,319601,537671
2355,Watch Hill [Setmurthy Common],34A,,"Ma,2,WO",254,NY159318,157,54.674412,-3.305448,0,1,315915,531821
2356,Clints Crags (Wainwright summit),34A,2351,WO,245,NY159352,10,54.705329,-3.306286,0,1,315925,535262
2357,Dunmallet [Dunmallard Hill],34C,2598,"2,WO",240,NY467246,80,54.614076,-2.825628,0,1,346777,524638
2358,Watch Hill,34A,2355,WO,235,NY149318,3,54.674803,-3.319931,0,1,314982,531882
2359,Scafell Pike,34B,,"Ma,F,Sim,Hew, N,W,B,Sy",978.07,NY215072,912,54.454263,-3.211682,1,0,321539,507218
2360,Scafell,34B,2359,"Hu,F,Sim,Hew, N,W,B,Sy",963.9,NY206064,132.2,54.447498,-3.224731,1,0,320680,506480
2364,Great End,34B,2359,"Sim,Hew,N,W, B,Sy,Fel",909.5,NY226083,56.1,54.46494,-3.194548,1,0,322670,508387
2365,Bowfell,34B,2359,"Hu,Sim,Hew,N, sMa,W,B,Sy",902.9,NY244064,148.2,54.447834,-3.166227,1,0,324474,506453
2367,Great Gable,34B,,"Ma,Sim,Hew,N, W,B,Sy,Fel",899,NY211103,425,54.482084,-3.219296,1,0,321099,510322
2368,Pillar,34B,,"Ma,Sim,Hew,N, W,B,Sy,Fel",892,NY171121,348,54.497479,-3.281134,1,0,317124,512106
2369,Esk Pike,34B,2359,"Hu,Sim,Hew,N, W,B,Sy,Fel",885,NY236075,112,54.457172,-3.179219,1,0,323649,507506
